total_holding_cost,total_stockout_cost,total_cost,service_level,average_inventory,stockout_frequency,stockout_quantity,reorder_count,dataset,model,series_id,origin
28.0,0.0,28.0,1.0,1.0,0.0,0.0,0.0,m5,ARIMA,FOODS_1_004_TX_1_evaluation,1
28.0,0.0,28.0,1.0,1.0,0.0,0.0,0.0,m5,ARIMA,FOODS_1_004_TX_1_evaluation,2
28.0,0.0,28.0,1.0,1.0,0.0,0.0,0.0,m5,ARIMA,FOODS_1_004_TX_1_evaluation,3
28.0,0.0,28.0,1.0,1.0,0.0,0.0,0.0,m5,ARIMA,FOODS_1_004_TX_1_evaluation,4
28.0,0.0,28.0,1.0,1.0,0.0,0.0,0.0,m5,ARIMA,FOODS_1_004_TX_1_evaluation,5
211.87845263687754,86.70042982308959,298.57888245996713,0.8928571428571429,7.567087594174198,3.0,17.34008596461792,3.0,m5,ARIMA,FOODS_1_004_TX_1_evaluation,6
360.2443263051761,406.3413120338656,766.5856383390417,0.7857142857142857,12.865868796613432,6.0,81.26826240677313,8.0,m5,ARIMA,FOODS_1_004_TX_1_evaluation,7
153.4066262681294,705.8476767598152,859.2543030279446,0.5714285714285714,5.478808081004622,12.0,141.16953535196302,12.0,m5,ARIMA,FOODS_1_004_TX_1_evaluation,8
29.545407573606614,87.86715093322823,117.41255850683484,0.6785714285714286,1.0551931276288076,9.0,17.573430186645645,10.0,m5,ARIMA,FOODS_1_010_TX_2_evaluation,1
371.24624770500316,0.0,371.24624770500316,1.0,13.25879456089297,0.0,0.0,16.0,m5,ARIMA,FOODS_1_010_TX_2_evaluation,2
343.71458530059493,0.0,343.71458530059493,1.0,12.275520903592676,0.0,0.0,12.0,m5,ARIMA,FOODS_1_010_TX_2_evaluation,3
23.941040808947005,21.561138150404997,45.502178959352,0.8571428571428572,0.8550371717481073,4.0,4.312227630080999,6.0,m5,ARIMA,FOODS_1_010_TX_2_evaluation,4
26.942130936466917,36.44923895126182,63.391369887728736,0.75,0.9622189620166756,7.0,7.289847790252363,5.0,m5,ARIMA,FOODS_1_010_TX_2_evaluation,5
120.96497070501533,0.0,120.96497070501533,1.0,4.320177525179119,0.0,0.0,9.0,m5,ARIMA,FOODS_1_010_TX_2_evaluation,6
